title,link,author,rating
Norse Mythology (Paperback),https://www.goodreads.com/book/show/37903770-norse-mythology,Neil Gaiman,4.1
Song of the Lioness,https://www.goodreads.com/book/show/13831.Alanna,Tamora Pierce,4.27
Kingdom of the Wicked,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked,Kerri Maniscalco,3.93
The Broken Earth,https://www.goodreads.com/book/show/26228034-the-obelisk-gate,N.K. Jemisin,4.31
The Broken Empire,https://www.goodreads.com/book/show/9579634-prince-of-thorns,Mark Lawrence,3.84
The Neverending Story (Hardcover),https://www.goodreads.com/book/show/27712.The_Neverending_Story,Michael Ende,"avg rating 4.18 — 192,657 ratings — published 1979"
Red Queen,https://www.goodreads.com/book/show/23174274-glass-sword,Victoria Aveyard,3.81
Heartless (Hardcover),https://www.goodreads.com/book/show/18584855-heartless,Marissa Meyer,4.09
Cursebreakers,https://www.goodreads.com/book/show/43204703-a-curse-so-dark-and-lonely,Brigid Kemmerer,4.0
The First Law,https://www.goodreads.com/book/show/944076.Last_Argument_of_Kings,Joe Abercrombie,"avg rating 4.33 — 143,898 ratings — published 2008"
Alice's Adventures in Wonderland / Through the Looking-Glass (Paperback),https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Lewis Carroll,"avg rating 4.06 — 540,145 ratings — published 1871"
The Wheel of Time,https://www.goodreads.com/book/show/113435.Crossroads_of_Twilight,Robert Jordan,"avg rating 3.79 — 115,689 ratings — published 2003"
The Raven Cycle,https://www.goodreads.com/book/show/17347389-the-dream-thieves,Maggie Stiefvater,4.23
The Golem and the Jinni,https://www.goodreads.com/book/show/15819028-the-golem-and-the-jinni,Helene Wecker,4.12
Oz,https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz,L. Frank Baum,"avg rating 3.99 — 435,032 ratings — published 1900"
Lightbringer,https://www.goodreads.com/book/show/7165300-the-black-prism,Brent Weeks,4.23
Discworld,https://www.goodreads.com/book/show/34504.Wyrd_Sisters,Terry Pratchett,"avg rating 4.15 — 111,382 ratings — published 1988"
The Belgariad,https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy,David Eddings,"avg rating 4.16 — 103,220 ratings — published 1982"
Earthsea Cycle,https://www.goodreads.com/book/show/13662.The_Tombs_of_Atuan,Ursula K. Le Guin,"avg rating 4.12 — 110,130 ratings — published 1970"
Dune,https://www.goodreads.com/book/show/44767458-dune,Frank Herbert,"avg rating 4.26 — 1,220,397 ratings — published 1965"
The Kane Chronicles,https://www.goodreads.com/book/show/7090447-the-red-pyramid,Rick Riordan,4.1
The Dresden Files,https://www.goodreads.com/book/show/91477.Fool_Moon,Jim Butcher,3.99
The Nevernight Chronicle,https://www.goodreads.com/book/show/26114463-nevernight,Jay Kristoff,4.23
The Dark Tower,https://www.goodreads.com/book/show/5094.The_Drawing_of_the_Three,Stephen King,4.23
The Last Unicorn,https://www.goodreads.com/book/show/29127.The_Last_Unicorn,Peter S. Beagle,4.16
Legendborn,https://www.goodreads.com/book/show/50892338-legendborn,Tracy Deonn,4.39
The Lunar Chronicles,https://www.goodreads.com/book/show/13206828-cress,Marissa Meyer,4.41
The Wheel of Time,https://www.goodreads.com/book/show/1166599.The_Gathering_Storm,Robert Jordan,"avg rating 4.41 — 152,235 ratings — published 2009"
The Wheel of Time,https://www.goodreads.com/book/show/13888.Knife_of_Dreams,Robert Jordan,"avg rating 4.18 — 124,221 ratings — published 2005"
The Heroes of Olympus,https://www.goodreads.com/book/show/18705209-the-blood-of-olympus,Rick Riordan,4.43
The Original Shannara Trilogy,https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara,Terry Brooks,3.76
Daughter of Smoke & Bone,https://www.goodreads.com/book/show/12812550-days-of-blood-starlight,Laini Taylor,4.14
The Demon Cycle,https://www.goodreads.com/book/show/3428935-the-warded-man,Peter V. Brett,4.25
Seraphina,https://www.goodreads.com/book/show/19549841-seraphina,Rachel Hartman,3.94
An Ember in the Ashes,https://www.goodreads.com/book/show/25558608-a-torch-against-the-night,Sabaa Tahir,4.25
The Ten Thousand Doors of January (Hardcover),https://www.goodreads.com/book/show/43521657-the-ten-thousand-doors-of-january,Alix E. Harrow,4.04
Mistborn,https://www.goodreads.com/book/show/16065004-shadows-of-self,Brandon Sanderson,4.29
The Remnant Chronicles,https://www.goodreads.com/book/show/16429619-the-kiss-of-deception,Mary E. Pearson,3.95
Legends & Lattes,https://www.goodreads.com/book/show/61242426-legends-lattes,Travis Baldree,4.25
Liveship Traders,https://www.goodreads.com/book/show/45100.Ship_of_Magic,Robin Hobb,4.19
The Kingkiller Chronicle,https://www.goodreads.com/book/show/21535271-the-slow-regard-of-silent-things,Patrick Rothfuss,3.89
